year,gender,rank,name,count
1954,female,1,Christine,779
1954,female,2,Susan,735
1954,female,3,Margaret,562
1954,female,4,Judith,531
1954,female,5,Jennifer,460
1954,female,6,Mary,423
1954,female,7,Elizabeth,419
1954,female,8,Patricia,408
1954,female,9,Linda,394
1954,female,10,Barbara,382
1954,female,11,Lynette,357
1954,female,12,Robyn,340
1954,female,13,Anne,329
1954,female,14,Karen,328
1954,female,15,Helen,325
1954,female,16,Diane,290
1954,female,17,Sandra,281
1954,female,18,Wendy,280
1954,female,19,Janet,275
1954,female,20,Heather,272
1954,female,21,Pamela,259
1954,female,22,Carol,247
1954,female,23,Janice,239
1954,female,24,Julie,230
1954,female,25,Suzanne,228
1954,female,26,Lorraine,224
1954,female,27,Dianne,218
1954,female,28,Marilyn,213
1954,female,29,Rosemary,207
1954,female,30,Raewyn,207
1954,female,31,Kathleen,200
1954,female,32,Pauline,199
1954,female,33,Alison,192
1954,female,34,Gail,183
1954,female,35,Denise,174
1954,female,36,Sharon,172
1954,female,37,Lesley,171
1954,female,38,Yvonne,170
1954,female,39,Catherine,166
1954,female,40,Shirley,160
1954,female,41,Beverley,154
1954,female,42,Maureen,153
1954,female,43,Deborah,153
1954,female,44,Jillian,152
1954,female,45,Ann,152
1954,female,46,Annette,149
1954,female,47,Colleen,147
1954,female,48,Jane,145
1954,female,49,Marie,144
1954,female,50,Sheryl,134
1954,female,51,Carolyn,129
1954,female,52,Frances,123
1954,female,53,Kathryn,122
1954,female,54,Kay,116
1954,female,55,Jacqueline,112
1954,female,56,Cheryl,108
1954,female,57,Ruth,105
1954,female,58,Glenda,105
1954,female,59,Maria,101
1954,female,60,Sally,97
1954,female,61,Lynda,97
1954,female,62,Lynne,92
1954,female,63,Marion,91
1954,female,64,Gillian,91
1954,female,65,Glenys,91
1954,female,66,Jan,90
1954,female,67,Jeanette,89
1954,female,68,Elaine,89
1954,female,69,Irene,88
1954,female,70,Jocelyn,88
1954,female,71,Donna,85
1954,female,72,Brenda,84
1954,female,73,Vicki,83
1954,female,74,Josephine,83
1954,female,75,Jill,83
1954,female,76,Angela,78
1954,female,77,Vivienne,77
1954,female,78,Valerie,77
1954,female,79,Shona,76
1954,female,80,Joanne,76
1954,female,81,Joy,76
1954,female,82,Lois,74
1954,female,83,Stephanie,72
1954,female,84,Joan,71
1954,female,85,Dorothy,71
1954,female,86,Paula,70
1954,female,87,Diana,68
1954,female,88,Gloria,67
1954,female,89,Adrienne,66
1954,female,90,Bronwyn,62
1954,female,91,Marian,60
1954,female,92,Lynnette,58
1954,female,93,Louise,57
1954,female,94,Virginia,54
1954,female,95,Penelope,54
1954,female,96,Lynn,53
1954,female,97,Christina,53
1954,female,98,Claire,53
1954,female,99,Leonie,52
1954,female,100,Ngaire,51
1955,female,1,Susan,743
1955,female,2,Christine,689
1955,female,3,Margaret,559
1955,female,4,Judith,459
