year,gender,count,name,rank
1954,female,8559,Other,101
1955,female,9302,Other,101
1956,female,9635,Other,101
1957,female,9673,Other,101
1958,female,10405,Other,101
1959,female,10411,Other,101
1960,female,10800,Other,101
1961,female,11327,Other,101
1962,female,11563,Other,101
1963,female,11767,Other,101
1964,female,11660,Other,101
1965,female,11494,Other,101
1966,female,11379,Other,101
1967,female,11544,Other,101
1968,female,12108,Other,101
1969,female,12242,Other,101
1970,female,12316,Other,101
1971,female,12949,Other,101
1972,female,13360,Other,101
1973,female,12767,Other,101
1974,female,13026,Other,101
1975,female,12555,Other,101
1976,female,12761,Other,101
1977,female,12550,Other,101
1978,female,11871,Other,101
1979,female,12037,Other,101
1980,female,11887,Other,101
1981,female,12128,Other,101
1982,female,11809,Other,101
1983,female,11762,Other,101
1984,female,12119,Other,101
1985,female,12253,Other,101
1986,female,12816,Other,101
1987,female,13830,Other,101
1988,female,14456,Other,101
1989,female,14702,Other,101
1990,female,15332,Other,101
1991,female,15397,Other,101
1992,female,15893,Other,101
1993,female,15726,Other,101
1994,female,15610,Other,101
1995,female,16308,Other,101
1996,female,16463,Other,101
1997,female,16659,Other,101
1998,female,16147,Other,101
1999,female,16647,Other,101
2000,female,16936,Other,101
2001,female,16679,Other,101
2002,female,16221,Other,101
2003,female,17114,Other,101
2004,female,17806,Other,101
2005,female,18611,Other,101
2006,female,18345,Other,101
2007,female,20143,Other,101
2008,female,20536,Other,101
2009,female,20016,Other,101
2010,female,20435,Other,101
2011,female,19739,Other,101
2012,female,19727,Other,101
2013,female,18913,Other,101
2014,female,19139,Other,101
2015,female,19597,Other,101
2016,female,19272,Other,101
2017,female,19598,Other,101
2018,female,19179,Other,101
2019,female,19699,Other,101
2020,female,19386,Other,101
1954,male,5127,Other,101
1955,male,5705,Other,101
1956,male,5953,Other,101
1957,male,5963,Other,101
1958,male,6184,Other,101
1959,male,6396,Other,101
1960,male,6837,Other,101
1961,male,7218,Other,101
1962,male,7317,Other,101
1963,male,7100,Other,101
1964,male,7052,Other,101
1965,male,7131,Other,101
1966,male,7485,Other,101
1967,male,7807,Other,101
1968,male,7843,Other,101
1969,male,7938,Other,101
1970,male,8156,Other,101
1971,male,9066,Other,101
1972,male,9841,Other,101
1973,male,9567,Other,101
1974,male,9399,Other,101
1975,male,9318,Other,101
1976,male,9010,Other,101
1977,male,9374,Other,101
1978,male,8923,Other,101
1979,male,8993,Other,101
1980,male,8483,Other,101
1981,male,8630,Other,101
1982,male,8250,Other,101
1983,male,8257,Other,101
1984,male,8458,Other,101
1985,male,8995,Other,101
1986,male,9666,Other,101
1987,male,10099,Other,101
1988,male,11249,Other,101
1989,male,11793,Other,101
1990,male,12416,Other,101
1991,male,12491,Other,101
1992,male,12259,Other,101
1993,male,12637,Other,101
1994,male,12819,Other,101
1995,male,13120,Other,101
1996,male,13598,Other,101
1997,male,14205,Other,101
1998,male,13658,Other,101
1999,male,14724,Other,101
2000,male,14448,Other,101
2001,male,15013,Other,101
2002,male,14652,Other,101
2003,male,15245,Other,101
2004,male,16043,Other,101
2005,male,17069,Other,101
2006,male,16763,Other,101
2007,male,18586,Other,101
2008,male,19192,Other,101
2009,male,18895,Other,101
2010,male,19197,Other,101
2011,male,18830,Other,101
2012,male,18778,Other,101
2013,male,18192,Other,101
2014,male,18442,Other,101
2015,male,19022,Other,101
2016,male,18804,Other,101
2017,male,19229,Other,101
2018,male,18961,Other,101
2019,male,19601,Other,101
2020,male,19435,Other,101
1954,female,779,Christine,1
1954,female,735,Susan,2
1954,female,562,Margaret,3
1954,female,531,Judith,4
1954,female,460,Jennifer,5
1954,female,423,Mary,6
1954,female,419,Elizabeth,7
1954,female,408,Patricia,8
1954,female,394,Linda,9
1954,female,382,Barbara,10
1954,female,357,Lynette,11
1954,female,340,Robyn,12
1954,female,329,Anne,13
1954,female,328,Karen,14
1954,female,325,Helen,15
1954,female,290,Diane,16
1954,female,281,Sandra,17
1954,female,280,Wendy,18
1954,female,275,Janet,19
1954,female,272,Heather,20
1954,female,259,Pamela,21
1954,female,247,Carol,22
1954,female,239,Janice,23
1954,female,230,Julie,24
1954,female,228,Suzanne,25
1954,female,224,Lorraine,26
1954,female,218,Dianne,27
1954,female,213,Marilyn,28
1954,female,207,Rosemary,29
1954,female,207,Raewyn,30
1954,female,200,Kathleen,31
1954,female,199,Pauline,32
1954,female,192,Alison,33
1954,female,183,Gail,34
1954,female,174,Denise,35
1954,female,172,Sharon,36
1954,female,171,Lesley,37
1954,female,170,Yvonne,38
1954,female,166,Catherine,39
1954,female,160,Shirley,40
1954,female,154,Beverley,41
1954,female,153,Maureen,42
1954,female,153,Deborah,43
1954,female,152,Jillian,44
1954,female,152,Ann,45
1954,female,149,Annette,46
1954,female,147,Colleen,47
1954,female,145,Jane,48
1954,female,144,Marie,49
1954,female,134,Sheryl,50
1954,female,129,Carolyn,51
1954,female,123,Frances,52
1954,female,122,Kathryn,53
1954,female,116,Kay,54
1954,female,112,Jacqueline,55
1954,female,108,Cheryl,56
1954,female,105,Ruth,57
1954,female,105,Glenda,58
1954,female,101,Maria,59
1954,female,97,Sally,60
1954,female,97,Lynda,61
1954,female,92,Lynne,62
1954,female,91,Marion,63
1954,female,91,Gillian,64
1954,female,91,Glenys,65
1954,female,90,Jan,66
1954,female,89,Jeanette,67
1954,female,89,Elaine,68
1954,female,88,Irene,69
1954,female,88,Jocelyn,70
1954,female,85,Donna,71
1954,female,84,Brenda,72
1954,female,83,Vicki,73
1954,female,83,Josephine,74
1954,female,83,Jill,75
1954,female,78,Angela,76
1954,female,77,Vivienne,77
1954,female,77,Valerie,78
1954,female,76,Shona,79
1954,female,76,Joanne,80
1954,female,76,Joy,81
1954,female,74,Lois,82
1954,female,72,Stephanie,83
1954,female,71,Joan,84
1954,female,71,Dorothy,85
1954,female,70,Paula,86
1954,female,68,Diana,87
1954,female,67,Gloria,88
1954,female,66,Adrienne,89
1954,female,62,Bronwyn,90
1954,female,60,Marian,91
1954,female,58,Lynnette,92
1954,female,57,Louise,93
1954,female,54,Virginia,94
1954,female,54,Penelope,95
1954,female,53,Lynn,96
1954,female,53,Christina,97
1954,female,53,Claire,98
1954,female,52,Leonie,99
1954,female,51,Ngaire,100
1955,female,743,Susan,1
1955,female,689,Christine,2
1955,female,559,Margaret,3
1955,female,459,Judith,4
1955,female,448,Jennifer,5
1955,female,432,Karen,6
1955,female,421,Patricia,7
1955,female,398,Mary,8
1955,female,386,Linda,9
1955,female,375,Barbara,10
1955,female,363,Elizabeth,11
1955,female,356,Robyn,12
1955,female,346,Wendy,13
1955,female,330,Helen,14
1955,female,329,Heather,15
1955,female,317,Lynette,16
1955,female,309,Anne,17
1955,female,299,Sandra,18
1955,female,289,Diane,19
1955,female,258,Carol,20
1955,female,247,Pamela,21
1955,female,240,Janice,22
1955,female,239,Janet,23
1955,female,237,Suzanne,24
1955,female,225,Raewyn,25
1955,female,222,Sharon,26
1955,female,220,Dianne,27
1955,female,214,Julie,28
1955,female,198,Rosemary,29
1955,female,190,Deborah,30
1955,female,185,Pauline,31
1955,female,184,Alison,32
1955,female,183,Kathleen,33
1955,female,181,Denise,34
1955,female,178,Lorraine,35
1955,female,178,Catherine,36
1955,female,165,Yvonne,37
1955,female,156,Marie,38
1955,female,156,Ann,39
1955,female,155,Beverley,40
1955,female,154,Lesley,41
1955,female,152,Shirley,42
1955,female,152,Colleen,43
1955,female,149,Annette,44
1955,female,144,Marilyn,45
1955,female,133,Maureen,46
1955,female,130,Glenda,47
1955,female,127,Jane,48
1955,female,125,Jillian,49
1955,female,124,Sheryl,50
1955,female,124,Gail,51
1955,female,123,Lynda,52
1955,female,123,Brenda,53
1955,female,120,Jacqueline,54
1955,female,117,Kay,55
1955,female,117,Carolyn,56
1955,female,116,Marion,57
1955,female,111,Maria,58
1955,female,110,Cheryl,59
1955,female,109,Donna,60
1955,female,108,Kathryn,61
1955,female,104,Vicki,62
1955,female,101,Jeanette,63
1955,female,100,Jan,64
1955,female,99,Gillian,65
1955,female,96,Sally,66
1955,female,95,Ruth,67
1955,female,93,Lynne,68
1955,female,93,Jocelyn,69
1955,female,92,Jill,70
1955,female,91,Joanne,71
1955,female,89,Maree,72
1955,female,89,Frances,73
1955,female,87,Valerie,74
1955,female,83,Elaine,75
1955,female,82,Dorothy,76
1955,female,81,Glenys,77
1955,female,79,Shona,78
1955,female,79,Adrienne,79
1955,female,78,Irene,80
1955,female,78,Joy,81
1955,female,78,Angela,82
1955,female,73,Lois,83
1955,female,73,Paula,84
1955,female,72,Vivienne,85
1955,female,72,Bronwyn,86
1955,female,71,Fiona,87
1955,female,70,Louise,88
1955,female,69,Stephanie,89
1955,female,67,Debra,90
1955,female,66,Christina,91
